"Börsdata ID","Bolagsnamn","ROIC - Senaste","Nettoskuld - Senaste","EV/EBIT - Senaste","EV/FCF - Senaste","Capex - Per Aktie","P/B - Senaste","PEG - Senaste","Börsvärde - Senaste","RSI - RSI(14)","MA -  5/20","MA -  50/200","Kursutveck. - Utveck.  1m"
"494","Beowulf Mining","-18,2%","-1%","-2,5",,,"0,5",,"151","79,7","15,2%","-22,7%","57,9%"
"26","Bergman & Beving","4,4%","19%","24,8","66,7","-17,54","3,9","11,0","8807","51,8","0,2%","4,6%","3,7%"
"436","Berner Industrier","14,3%","19%","15,3","8,6","-0,13","3,0","-1,1","758","70,7","7,9%","-6,4%","27,8%"
"2197","Besqab","3,7%","10%","20,2","12,7","3,52","0,7","-0,3","2893","55,4","-0,8%","-4,1%","0,4%"
"1770","Beyond Frames","-33,2%","-8%","-10,6","-13,3","-1,88","3,2",,"210","63,3","-2,5%","-24,2%","6,1%"
"1677","BHG Group","-8,4%","15%","-13,6","10,4","-0,43","0,8",,"4391","51,7","-2,6%","24,3%","13,6%"
"1553","BiBBInstruments","-50,8%","-10%","-5,4","-3,8","-0,18","2,5",,"99","50,6","-0,3%","-38,6%","-2,0%"
"1376","BICO Group","-2,4%","7%","-10,3","10,4","1,83","0,9",,"2586","53,9","7,5%","-14,9%","7,9%"
"33","Bilia","5,1%","43%","18,0","25,5","-13,08","2,6","-0,7","13164","48,5","-2,2%","-0,9%","9,1%"
"34","Billerud","4,8%","11%","13,7","57,0","-9,69","1,0","0,1","29853","64,7","1,8%","4,7%","5,4%"
"389","BIMobject","-8,9%","-68%","-32,1","-72,9","-0,03","5,1",,"981","66,9","8,1%","24,6%","19,4%"
"299","Binero Group","13,1%","-2%","69,6","-22,5","-0,18","2,5","0,2","298","43,2","-0,5%","-11,4%","-13,6%"
"1408","Bio Vitos Pharma","-39,5%","-2%","-0,2","-0,6",,"0,1",,"5","45,3","-0,4%","-82,5%","-22,0%"
"1538","BioArctic","-41,9%","-41%","-92,5","-191,0","2,34","24,1",,"21654","63,7","5,6%","11,3%","12,2%"
"1933","Bioextrax","-298,5%","-60%","-5,4","-4,9","-0,01","4,3",,"114","50,9","1,9%","-11,8%","1,4%"
"1939","Biofrigas","-51,9%","-26%","0,2","0,2","-0,27","0,3",,"25","46,0","-2,2%","-10,6%","-0,2%"
"35","BioGaia","58,2%","-60%","26,9","31,7","-0,14","7,3","-9,4","12595","49,9","-1,8%","1,6%","4,5%"
"36","Bioinvent","-93,5%","-86%","-2,1","5,3","8,68","2,1",,"1829","59,7","1,4%","-20,7%","-0,7%"
"2210","Biosergen","-806,8%","-63%","-2,0","-1,7","-0,06","4,2",,"107","56,0","-4,0%","-10,0%","-3,6%"
"37","Biotage","6,9%","-4%","22,8","-203,4","-5,70","2,2","5,1","9026","32,5","-10,9%","-15,7%","-20,1%"
"1429","Biovica","-370,9%","-51%","-1,0","-1,2","-0,00","1,9",,"181","48,1","-4,3%","-16,6%","-15,9%"
"1577","Bio-Works","-362,5%","-65%","-2,1","-1,9","0,00","2,6",,"114","72,4","14,8%","-26,7%","55,7%"
"38","Björn Borg","17,2%","7%","14,2","23,4","-0,56","4,0","-4,4","1399","46,7","-2,0%","-3,5%","-1,2%"
"1394","Bluelake Mineral","-55,5%","-8%","-5,1","-3,9","-0,00","2,4",,"101","61,3","2,6%","-8,8%","14,4%"
"1688","Bodyflight","-7,3%","10%","-6,2","19,9","0,20","0,2",,"10","61,2","27,1%","-45,1%","26,0%"
"1520","Boho Group","0,3%","38%","14,1","11,1","-0,66","2,4","4,8","543","49,1","-1,1%","-18,1%","-6,0%"
"2173","Bokusgruppen","4,6%","19%","15,4","8,5","-8,32","1,3","5,9","843","74,1","5,6%","-0,4%","12,5%"
"40","Boliden","11,6%","9%","8,3","42,6","-54,93","1,6","0,2","102840","57,4","1,4%","3,8%","12,7%"
"2006","BoMill","-421,2%","-47%","-5,8","-8,6","-0,00","5,5",,"114","25,2","-13,3%","23,9%","-26,2%"
"1606","Bonava A","-5,1%","18%","288,6","10,2","0,17","0,5",,"3293","46,3","0,0%","8,0%","7,4%"
